Rk,Season,FG,FGA,3P,3PA,FT,FTA,PTS,FG%,3P%,FT%,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg,3PA%,ORB
1,2022-23,103260,217219,30359,84165,45248,57881,282127,47.50%,36.10%,0.782,99.2,54.50%,12.5,24,20.80%,114.8,38.75%,10.4
2,2021-22,99930,216722,30598,86535,41657,53781,272115,46.10%,35.40%,77.50%,98.2,53.20%,12.3,23.2,19.20%,112,39.93%,10.3
3,2020-21,89020,190983,27427,74822,36650,47135,242117,46.60%,36.70%,77.80%,99.2,53.80%,12.4,22.2,19.20%,112.3,39.18%,9.8
4,2019-20,86550,188116,25862,72252,37826,48943,236788,46.00%,35.80%,77.30%,100.3,52.90%,12.8,22.5,20.10%,110.6,38.41%,10.1
5,2018-19,101062,219458,27955,78742,43494,56758,273573,46.10%,35.50%,76.60%,100,52.40%,12.4,22.9,19.80%,110.4,35.88%,10.3
6,2017-18,97435,211709,25807,71340,40903,53325,261580,46.00%,36.20%,76.70%,97.3,52.10%,13,22.3,19.30%,108.6,33.70%,9.7
7,2016-17,96061,210115,23748,66422,43883,56855,259753,45.70%,35.80%,77.20%,96.4,51.40%,12.7,23.3,20.90%,108.8,31.61%,10.1
8,2015-16,94065,208049,20953,59241,43489,57469,252572,45.20%,35.40%,75.70%,95.8,50.20%,13.2,23.8,20.90%,106.4,28.47%,10.4
9,2014-15,92287,205570,19300,55137,42161,56198,246035,44.90%,35.00%,75.00%,93.9,49.60%,13.3,25.1,20.50%,105.6,26.82%,10.9
10,2013-14,92779,204172,19054,52974,43870,58029,248482,45.40%,36.00%,75.60%,93.9,50.10%,13.6,25.5,21.50%,106.6,25.95%,10.9
11,2012-13,91282,201609,17603,49067,41056,54533,241223,45.30%,35.90%,75.30%,92,49.60%,13.7,26.5,20.40%,105.8,24.34%,11.2
12,2011-12,72218,161225,12693,36395,33465,44472,190594,44.80%,34.90%,75.20%,91.3,48.70%,13.8,27,20.80%,104.6,22.57%,11.4
13,2010-11,91624,199790,15886,44313,45760,59937,244894,45.90%,35.80%,76.30%,92.1,49.80%,13.4,26.4,22.90%,107.3,22.18%,10.9
14,2009-10,92730,200989,15822,44622,45818,60377,247100,46.10%,35.50%,75.90%,92.7,50.10%,13.3,26.3,22.80%,107.6,22.20%,11
15,2008-09,91310,199054,16352,44583,46907,60859,245879,45.90%,36.70%,77.10%,91.7,50.00%,13.3,26.7,23.60%,108.3,22.40%,11
16,2007-08,91669,200501,16124,44544,46349,61363,245811,45.70%,36.20%,75.50%,92.4,49.70%,13.2,26.7,23.10%,107.5,22.22%,11.2
17,2006-07,89860,196073,14926,41672,48253,64149,242899,45.80%,35.80%,75.20%,91.9,49.60%,14.2,27.1,24.60%,106.5,21.25%,11.1
18,2005-06,88166,194315,14086,39313,48223,64700,238641,45.40%,35.80%,74.50%,90.5,49.00%,13.7,27.3,24.80%,106.2,20.23%,11.2
19,2004-05,88435,197626,13777,38748,48462,64095,239109,44.70%,35.60%,75.60%,90.9,48.20%,13.6,28.7,24.50%,106.1,19.61%,12
20,2003-04,83254,189802,12321,35492,43268,57564,222097,43.90%,34.70%,75.20%,90.1,47.10%,14.2,28.6,22.80%,102.9,18.70%,12.1
21,2002-03,84937,192109,12200,34912,44028,58103,226102,44.20%,34.90%,75.80%,91,47.40%,14,28.5,22.90%,103.6,18.17%,12
22,2001-02,86011,193263,12402,35074,42619,56650,227043,44.50%,35.40%,75.20%,90.7,47.70%,13.6,28.9,22.10%,104.5,18.15%,12.2
23,2000-01,84865,191664,11524,32597,44205,59137,225459,44.30%,35.40%,74.80%,91.3,47.30%,14.1,28.2,23.10%,103,17.01%,12
24,1999-00,87591,195220,11513,32614,45094,60111,231789,44.90%,35.30%,75.00%,93.1,47.80%,14.2,28.9,23.10%,104.1,16.71%,12.4
25,1998-99,49549,113379,6463,19080,27231,37399,132792,43.70%,33.90%,72.80%,88.9,46.60%,14.6,30.2,24.00%,102.2,16.83%,12.6
26,1997-98,85383,189537,10450,30231,46053,62494,227269,45.00%,34.60%,73.70%,90.3,47.80%,14.5,31.4,24.30%,105,15.95%,13.1
27,1996-97,85777,188594,14383,39943,44496,60271,230433,45.50%,36.00%,73.80%,90.1,49.30%,14.8,30.8,23.60%,106.7,21.18%,12.7
28,1995-96,88096,190675,14000,38161,46427,62765,236619,46.20%,36.70%,74.00%,91.8,49.90%,14.7,30.6,24.30%,107.6,20.01%,12.6
29,1994-95,84105,180423,12153,33889,44155,59938,224518,46.60%,35.90%,73.70%,92.9,50.00%,14.6,31.4,24.50%,108.3,18.78%,13
30,1993-94,87064,186951,7301,21907,43308,58977,224737,46.60%,33.30%,73.40%,95.1,48.50%,14.3,32.2,23.20%,106.3,11.72%,13.9
31,1992-93,90056,190295,6668,19824,46293,61373,233073,47.30%,33.60%,75.40%,96.8,49.10%,14,32,24.30%,108,10.42%,13.8
32,1991-92,91371,193391,5587,16898,44826,59075,233155,47.20%,33.10%,75.90%,96.6,48.70%,13.6,32.9,23.20%,108.2,8.74%,14.4
33,1990-91,91551,193059,5055,15812,47213,61736,235370,47.40%,32.00%,76.50%,97.8,48.70%,13.9,32.3,24.50%,107.9,8.19%,14
34,1989-90,91914,192951,4829,14608,48225,63118,236882,47.60%,33.10%,76.40%,98.3,48.90%,13.9,32.1,25.00%,108.1,7.57%,13.8
35,1988-89,87060,182385,4332,13431,45345,59067,223797,47.70%,32.30%,76.80%,100.6,48.90%,14.5,33,24.90%,107.8,7.36%,14.5
36,1987-88,79473,165441,2979,9421,42068,54933,203993,48.00%,31.60%,76.60%,99.6,48.90%,14.3,32.8,25.40%,108,5.69%,14.2
37,1986-87,80422,167455,2687,8913,43807,57449,207338,48.00%,30.10%,76.30%,100.8,48.80%,14.3,33.4,26.20%,108.3,5.32%,14.7
38,1985-86,81465,167166,1774,6293,43171,57079,207875,48.70%,28.20%,75.60%,102.1,49.30%,14.9,32.4,25.80%,107.2,3.76%,14.1
39,1984-85,82532,168048,1671,5917,42306,55381,209041,49.10%,28.20%,76.40%,102.1,49.60%,14.9,32.9,25.20%,107.9,3.52%,14.3
40,1983-84,82007,166638,1120,4484,42534,55992,207668,49.20%,25.00%,76.00%,101.4,49.50%,15,33,25.50%,107.6,2.69%,14.2
41,1982-83,82087,169098,1011,4248,39473,53336,204658,48.50%,23.80%,74.00%,103.1,48.80%,15.8,33.4,23.30%,104.7,2.51%,14.8
42,1981-82,81732,166418,1129,4308,40183,53889,204776,49.10%,26.20%,74.60%,100.9,49.50%,15,33,24.10%,106.9,2.59%,14.3
43,1980-81,81025,166769,936,3815,40900,54481,203886,48.60%,24.50%,75.10%,101.8,48.90%,15.6,33.5,24.50%,105.5,2.29%,14.5
44,1979-80,78735,163521,1403,5003,38366,50212,197239,48.10%,28.00%,76.40%,103.1,48.60%,15.5,33.5,23.50%,105.3,3.06%,15.1
